time,server,live,vod,traffic_protocols_live_dash,traffic_protocols_live_hls,traffic_protocols_live_smooth,traffic_protocols_vod_dash,traffic_protocols_vod_hls,traffic_protocols_vod_smooth,traffic_protocols_vod_unknown,idle,iowait,irq,system,user,softirq,avg_rt_live_dash,avg_rt_live_hls,avg_rt_live_smooth,avg_rt_vod_smooth,avg_rt_vod_unknown,avg_rt_vod_dash,avg_rt_vod_hls,avg_rt_cached_live_dash,avg_rt_cached_live_hls,avg_rt_cached_live_smooth,avg_rt_cached_vod_smooth,avg_rt_cached_vod_unknown,avg_rt_cached_vod_dash,avg_rt_cached_vod_hls,avg_rt_nocached_live_dash,avg_rt_nocached_live_hls,avg_rt_nocached_live_smooth,avg_rt_nocached_vod_smooth,avg_rt_nocached_vod_unknown,avg_rt_nocached_vod_dash,avg_rt_nocached_vod_hls,avg-resp-time-hit,avg-resp-time-hit-https,avg-resp-time-miss,avg-resp-time-miss-https,conn_443,conn_80,req_live_dash,req_live_hls,req_live_smooth,req_vod_smooth,req_vod_unknown,req_vod_dash,req_vod_hls,disk_iops_reads_local,disk_iops_writes_local,disk_time_reads_local,disk_time_reads_md50,disk_time_writes_local,disk_time_writes_md50,disk_throughput_reads_local,disk_throughput_reads_md0,disk_throughput_reads_md126,disk_throughput_reads_md50,disk_throughput_writes_local,disk_throughput_writes_md0,disk_throughput_writes_md126,disk_throughput_writes_md50,avgtotal,saturation_status_value,concount,cpuglobal,cpuwait,inbytesps,loadlevel,outbytesps,waitndisk,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_vod,saturation_status
2025-04-16 21:01:00,ceimpe1-03,23141326008.33333,1530017839.25,52382066463.0,11692937090.0,5348974472.0,5466429590.0,303517352.0,350124415.0,0.0,55.42134024959095,0.4350014379573673,1.5494679316673714,10.168607992314216,21.95139487472791,10.33038538630188,12.440501722233051,9.224737368684345,8.066810927779281,28.944625407166125,0.0,31.10446428571429,49.2532751091703,11.821544580709316,8.877740948495665,7.030644694998554,7.656779661016949,0.0,16.780876494023904,10.216666666666669,38.84319526627219,19.319444444444443,21.01805054151625,90.11392405063292,1.1699029126213591,59.21066666666667,63.11242603550296,5.0,26.0,28.0,6.0,7070.0,1039.0,15423.0,8060.0,3736.0,315.0,412.0,1128.0,229.0,12.133333333333333,66.43333333333334,349.34166666666664,0.0,941.5166666666668,0.0,18420531.2,0.0,106025779.2,0.0,122845593.6,0.0,2730.6666666666665,0.0,4179672.3333333335,24.0,28.0,57.0,0.0,13.0,0.0,21.0,0.0,4642048.0,5600000.0,2111568.0,2267908.0,5790126.0,4666384.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-04,25347551995.666668,2444250702.5,61330761579.0,9009575490.0,5702318918.0,9061313749.0,362286992.0,353401691.0,378.0,46.70914097036104,0.3275561074542377,1.7223692025952797,12.789086262979684,25.772546478188467,12.51732267900256,13.423915474060824,9.826135816342912,8.203034134007586,33.616949152542375,0.0,33.2544466403162,27.095774647887325,12.965329089462315,9.421821164889254,6.975129816889861,8.361809045226131,0.0,16.0,8.836,36.4441087613293,26.144827586206898,22.321766561514195,71.89655172413794,3.0736648250460403,65.96103896103897,70.57142857142857,5.0,26.0,25.0,6.0,7701.0,742.0,17925.0,6240.0,3976.0,315.0,543.0,2044.0,355.0,23.866666666666667,0.0,285.2416666666667,0.0,620.8833333333333,0.0,57247334.4,0.0,125226734.93333334,0.0,0.0,0.0,3822.933333333333,0.0,3925843.5,24.0,29.0,63.0,0.0,15.0,0.0,22.0,0.0,4659430.0,4198764.0,1884989.0,1938873.0,5774361.0,5098644.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-05,23105558013.0,2276082825.75,58713789952.0,5882525716.0,4720358371.0,8494515410.0,310469216.0,299345165.0,1512.0,52.05454804165594,0.2392774898728766,1.6047783530290725,11.33599596657608,23.562535974894637,11.05713874208805,12.311525055711105,10.924475877746906,8.12897253933971,24.913857677902623,0.0,25.06714876033058,33.11090573012939,12.10254621555633,9.895436766623208,6.984369803791154,8.0,0.0,13.573081607795372,8.810185185185185,19.25,41.75590551181102,21.98069498069498,58.94252873563219,2.9550295857988167,76.92397660818713,36.84150675195451,5.0,30.0,27.0,5.0,7169.0,745.0,17586.0,3962.0,3266.0,285.0,845.0,1984.0,1623.0,8.433333333333334,64.01666666666667,369.35833333333335,0.0,808.225,0.0,25668812.8,0.0,150564044.8,0.0,70044876.8,0.0,2732851.2,0.0,3905303.5,24.0,27.0,58.0,0.0,10.0,0.0,72.0,0.0,4568544.0,5528925.0,1969335.0,893961.0,5830607.0,4640449.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-06,21765631040.33333,994247325.8,52329753893.0,7451151580.0,5515987648.0,4492897438.0,206549020.0,259438318.0,30357.0,57.69465922841058,0.2895162740776333,1.4961337890295856,9.46951987217764,21.00701313079156,9.920877541363808,12.114486131668704,9.361978661493696,7.587466666666667,31.04306220095694,0.0,27.308839190628326,14.50207468879668,11.562442668064474,8.690790811140475,6.626186487995533,9.03225806451613,6.24,16.91316146540027,7.594736842105263,38.01286173633441,23.35169491525424,26.628415300546447,61.87356321839081,1.4875444839857652,57.685589519650655,40.23529411764706,5.0,20.0,24.0,5.0,6479.0,735.0,15573.0,5155.0,3765.0,211.0,637.0,966.0,241.0,10.9,25.3,157.36666666666667,0.0,589.4166666666666,0.0,10919936.0,0.0,102493934.93333334,0.0,133731123.2,0.0,1092.2666666666669,0.0,4163338.8333333335,24.0,25.0,53.0,0.0,10.0,0.0,20.0,0.0,4622691.0,5641746.0,1903375.0,1798761.0,5895279.0,5118181.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-07,22928234763.666668,2058282684.75,55563836283.0,7995011496.0,5225856512.0,7250952594.0,313176228.0,542193575.0,126808342.0,42.70418373271372,0.569605422113246,1.3573192493444737,12.999981975818432,29.34549453242211,12.855778070686965,14.332802840178736,11.594630116410064,12.771074815595364,28.149122807017545,0.0,44.31009174311927,31.045871559633028,14.148442348268588,10.738647437146756,7.678754910849199,8.53048780487805,8.21,16.36156351791531,9.263392857142858,24.345098039215685,33.62626262626262,46.1375968992248,70.16666666666667,1.5970350404312668,122.97417840375589,78.41747572815534,6.0,29.0,37.0,7.0,7084.0,838.0,16369.0,5329.0,3825.0,472.0,1042.0,1654.0,327.0,11.516666666666667,133.95,306.5416666666667,0.0,785.5333333333333,0.0,39369113.6,0.0,149938176.0,0.0,127787554.13333334,0.0,3506722.1333333333,0.0,3891169.8333333335,24.0,27.0,67.0,0.0,12.0,0.0,37.0,0.0,4653094.0,4579007.0,1979121.0,1461773.0,5624682.0,5049342.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-08,25269579176.666668,1925716717.25,43334031263.0,12975626978.0,19499079289.0,6922794489.0,326852852.0,453219528.0,0.0,41.78136484632149,0.2864451971012338,1.3655689272026288,12.765727464355306,30.51091735201829,13.124234346671312,14.985368193811466,10.804231600500511,7.934314011069036,20.483783783783785,0.0,33.801762114537446,41.06953642384106,13.993802677243432,10.463923534211446,7.680434461356583,8.717607973421927,0.0,16.622710622710624,11.433734939759036,36.12127236580517,14.8005540166205,21.196787148594375,60.96341463414634,1.2864493996569468,71.54728370221328,52.3013698630137,6.0,27.0,26.0,7.0,5861.0,2404.0,12605.0,8940.0,13783.0,383.0,1166.0,1589.0,302.0,29.366666666666667,0.0,997.3166666666668,0.0,1010.0583333333332,0.0,60320972.8,0.0,167625250.13333333,0.0,0.0,0.0,1638.4,0.0,4084449.6666666665,24.0,27.0,68.0,0.0,15.0,0.0,41.0,0.0,4733613.0,4988105.0,2000841.0,1979306.0,5687050.0,5117783.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-09,23040781196.666668,1665808588.0,59268553763.0,5991961268.0,3861828559.0,5948741401.0,148153776.0,391669843.0,174669332.0,43.04694259257593,0.567854052532821,1.3556388807263329,12.474762042005189,30.22966541479792,12.168301124264245,14.346591837846674,10.591463414634148,8.420349053100631,24.648464163822524,0.0,33.34794908062235,46.96590909090909,12.806600366687038,10.049927290353851,7.273127753303965,8.842105263157896,7.968599033816425,15.558380414312618,14.58974358974359,64.53620352250489,25.867132867132867,22.152073732718893,55.775510204081634,1.2393822393822391,73.14285714285714,72.73469387755102,5.0,25.0,28.0,6.0,7146.0,788.0,18510.0,4269.0,2714.0,307.0,1191.0,1482.0,88.0,12.2,78.7,277.2083333333333,0.0,819.8,0.0,20842632.53333333,0.0,147915844.26666668,0.0,152015121.06666666,0.0,5221580.8,0.0,3971658.8333333335,24.0,27.0,68.0,0.0,11.0,0.0,37.0,0.0,4380112.0,4412446.0,1857317.0,2490910.0,5770738.0,4918430.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-10,22581442375.33333,2013932919.75,52352424702.0,10138286936.0,5253615488.0,7157137386.0,410956344.0,431505910.0,56132039.0,47.69214137970543,0.2540265916637337,1.3385940255481916,12.351817817894087,25.735956463698784,12.458112632136348,13.074436951266064,9.84898383029224,7.58183825558929,35.69318181818182,0.0,23.990924560408395,27.058685446009388,12.623243768209775,9.39747682018544,7.018705035971223,8.973262032085561,8.628415300546449,15.40224570673712,9.111464968152866,31.592261904761905,26.44508670520231,20.742138364779876,61.37078651685393,1.2774294670846396,75.62151394422311,77.375,6.0,28.0,34.0,6.0,7129.0,731.0,15781.0,6752.0,3634.0,365.0,821.0,1765.0,426.0,8.0,15.05,96.96666666666668,0.0,504.65,0.0,27176140.8,0.0,124823688.53333332,0.0,45645277.86666667,0.0,17368678.4,0.0,3706838.1666666665,24.0,27.0,61.0,0.0,10.0,0.0,36.0,0.0,4516935.0,2940839.0,1972986.0,1838732.0,5810515.0,5161022.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-11,26180077120.33333,1131833065.0,63551523387.0,9917696252.0,5071011722.0,3895564868.0,365730500.0,266036304.0,588.0,43.74414245032779,0.3712782061537907,1.358950327487625,13.279503997447744,27.853074753813008,13.230841320684457,15.89647723496178,10.968065693430656,8.289048991354466,30.728448275862068,0.0,36.70258620689656,29.758602150537637,13.381253172409904,10.217810991748404,7.788178817881788,8.949367088607595,0.0,15.870292887029288,11.906832298136646,129.34025974025974,41.66025641025641,18.251572327044027,69.21686746987952,5.093457943925234,101.33482142857144,31.450264861683344,6.0,39.0,35.0,6.0,7579.0,634.0,18116.0,6579.0,3492.0,241.0,535.0,941.0,1860.0,11.6,0.0,185.125,0.0,542.7083333333334,0.0,23109632.0,0.0,110611114.66666669,0.0,0.0,0.0,31168921.6,0.0,3849056.5,24.0,28.0,63.0,0.0,10.0,0.0,39.0,0.0,4759227.0,4757758.0,1984428.0,871774.0,5851325.0,4869827.0,0.0,Active
2025-04-16 21:01:00,ceimpe1-12,20495715976.33333,1265840481.5,44303076864.0,8066079856.0,9117991209.0,4790371573.0,135157336.0,137833017.0,0.0,57.78033890944272,0.2755217806256446,1.1453062253441724,9.347931785794117,21.23858745555415,10.080855738189666,12.149696923194966,9.46839811115147,7.200549006943323,54.90384615384615,0.0,29.504050405040505,50.66666666666666,11.8203125,8.63255033557047,6.7453271028037385,7.711111111111111,0.0,14.523579201934703,12.1875,28.59919028340081,41.04225352112676,19.880184331797235,82.67692307692307,1.2262569832402237,66.06666666666666,76.31944444444444,5.0,28.0,27.0,5.0,5550.0,1016.0,13047.0,5506.0,6209.0,110.0,358.0,1142.0,120.0,7.316666666666666,60.13333333333333,212.69166666666663,0.0,613.4833333333333,0.0,9102950.4,0.0,70829670.4,0.0,117445973.33333331,0.0,2730.6666666666665,0.0,4157479.6666666665,24.0,22.0,48.0,0.0,9.0,0.0,32.0,0.0,4612406.0,4993879.0,1942898.0,1963333.0,5896786.0,5535576.0,0.0,Active
