time,server,req_live_dash,req_live_hls,req_live_smooth,req_vod_dash,req_vod_hls,req_vod_http,req_vod_iplus,req_vod_smooth,req_vod_unknown,req_live_unknown
2025-01-12 20:00:00,ceihta1-15,456.0,43.0,20.0,1078.0,747.0,,,529.0,655.0,
2025-01-12 20:00:00,ceihta1-16,1071.0,75.0,64.0,1831.0,823.0,,,321.0,601.0,
2025-01-12 20:00:00,ceihta1-17,579.0,246.0,45.0,31436.0,2094.0,,,353.0,7840.0,
2025-01-12 20:00:00,ceihta1-18,740.0,51.0,30.0,3687.0,742.0,,,219.0,37735.0,
2025-01-12 20:00:00,ceihta1-19,1288.0,52.0,31.0,991.0,605.0,,,382.0,1216.0,
2025-01-12 20:00:00,ceihta1-20,795.0,48.0,30.0,1671.0,845.0,,,395.0,6711.0,
2025-01-12 20:00:00,ceimno1-01,18643.0,1081.0,1333.0,1581.0,139.0,,,224.0,91.0,
2025-01-12 20:00:00,ceimno1-02,14192.0,2512.0,8105.0,2162.0,132.0,,,433.0,141.0,
2025-01-12 20:00:00,ceimno1-03,16017.0,1868.0,2232.0,1189.0,69.0,,,1729.0,16630.0,
2025-01-12 20:00:00,ceimno1-04,15122.0,5640.0,346.0,1854.0,159.0,,,492.0,11.0,
2025-01-12 20:00:00,ceimno1-05,16620.0,1163.0,1301.0,2155.0,281.0,,,1580.0,84.0,
2025-01-12 20:00:00,ceimno1-06,18656.0,1462.0,1374.0,1040.0,98.0,,,502.0,5014.0,
2025-01-12 20:00:00,ceimno1-07,12571.0,1317.0,1441.0,723.0,65.0,,,1129.0,16656.0,
2025-01-12 20:00:00,ceimno1-08,18841.0,1042.0,789.0,1006.0,102.0,,,379.0,54.0,
2025-01-12 20:00:00,ceimno1-09,17443.0,1549.0,1495.0,1031.0,278.0,,,621.0,7139.0,
2025-01-12 20:00:00,ceimno1-10,20177.0,928.0,1064.0,1242.0,105.0,,,780.0,59.0,
2025-01-12 20:00:00,ceimno1-11,10354.0,2193.0,16879.0,1716.0,72.0,,,1864.0,23653.0,
2025-01-12 20:00:00,ceimno1-12,19753.0,639.0,1106.0,1472.0,191.0,,,537.0,261.0,
2025-01-12 20:00:00,ceimno1-13,4.0,5.0,30.0,20.0,20.0,,,,,
2025-01-12 20:00:00,ceimno1-14,8867.0,8808.0,19931.0,1355.0,153.0,,,222.0,50.0,
2025-01-12 20:00:00,ceimno1-15,8950.0,448.0,18516.0,1384.0,182.0,,,386.0,45.0,
2025-01-12 20:00:00,ceimno1-16,13720.0,553.0,485.0,714.0,77.0,,,317.0,45.0,
2025-01-12 20:00:00,ceimno1-17,12829.0,1387.0,976.0,749.0,54.0,,,356.0,171.0,
2025-01-12 20:00:00,ceimno1-18,5814.0,2730.0,615.0,14089.0,138.0,,,607.0,1447.0,
2025-01-12 20:00:00,ceimno1-19,18503.0,3045.0,2169.0,1686.0,40.0,,,1219.0,15828.0,
2025-01-12 20:00:00,ceimpe1-01,24370.0,493.0,1068.0,2621.0,480.0,,,460.0,1.0,
2025-01-12 20:00:00,ceimpe1-02,17653.0,63.0,19410.0,3248.0,86.0,,,283.0,18.0,
2025-01-12 20:00:00,ceimpe1-03,10772.0,3849.0,945.0,28736.0,73.0,,,1094.0,,
2025-01-12 20:00:00,ceimpe1-04,26163.0,440.0,973.0,2155.0,110.0,,,705.0,3.0,
2025-01-12 20:00:00,ceimpe1-05,26367.0,776.0,1279.0,1659.0,61.0,,,508.0,41.0,
2025-01-12 20:00:00,ceimpe1-06,24983.0,3245.0,1445.0,3391.0,96.0,,,719.0,17.0,
2025-01-12 20:00:00,ceimpe1-07,21487.0,1257.0,1102.0,1557.0,78.0,,,634.0,5.0,
2025-01-12 20:00:00,ceimpe1-08,14651.0,7128.0,18260.0,2252.0,256.0,,,402.0,11.0,
2025-01-12 20:00:00,ceimpe1-09,26466.0,1392.0,1009.0,1936.0,155.0,,,453.0,18.0,
2025-01-12 20:00:00,ceimpe1-10,25732.0,1828.0,1300.0,1055.0,180.0,,,259.0,11.0,
2025-01-12 20:00:00,ceimpe1-11,25287.0,2338.0,3041.0,1487.0,283.0,,,607.0,15.0,
2025-01-12 20:00:00,ceimpe1-12,21043.0,958.0,17209.0,906.0,47.0,,,316.0,10.0,
2025-01-12 20:00:00,ceimpe1-13,47492.0,3973.0,11519.0,1146.0,90.0,,,580.0,30.0,
2025-01-12 20:00:00,ceimpe1-14,48627.0,7019.0,3116.0,2091.0,56.0,,,557.0,639.0,
2025-01-12 20:00:00,ceimpe1-15,32111.0,5161.0,31461.0,1396.0,174.0,,,490.0,6.0,
2025-01-12 20:00:00,ceimpe1-16,78539.0,18034.0,8704.0,1254.0,114.0,,,375.0,663.0,
2025-01-12 20:00:00,ceimsm1-01,20684.0,1256.0,3137.0,944.0,72.0,,,1041.0,12734.0,
2025-01-12 20:00:00,ceimsm1-02,27255.0,6542.0,9043.0,1373.0,57.0,,,1665.0,19350.0,
2025-01-12 20:00:00,ceimsm1-03,26019.0,1991.0,1934.0,1264.0,59.0,,,783.0,9494.0,
2025-01-12 20:00:00,ceimsm1-04,31887.0,2259.0,5544.0,1255.0,42.0,,,880.0,10217.0,
2025-01-12 20:00:00,ceimsm1-05,24687.0,2644.0,1447.0,636.0,50.0,,,825.0,10145.0,
2025-01-12 20:00:00,ceimsm1-06,16713.0,1424.0,1550.0,474.0,13.0,,,900.0,8084.0,
2025-01-12 20:00:00,ceimsm1-07,11493.0,917.0,1019.0,402.0,21.0,,,130.0,101.0,
2025-01-12 20:00:00,ceimsm1-08,7815.0,3828.0,12627.0,853.0,18.0,,,438.0,2615.0,
2025-01-12 20:00:00,ceimsm1-09,10762.0,3873.0,361.0,398.0,24.0,,,268.0,74.0,
2025-01-12 20:00:00,ceimsm1-10,9885.0,788.0,9574.0,496.0,56.0,,,975.0,50.0,
2025-01-12 20:00:00,ceimsm1-11,9860.0,222.0,8413.0,488.0,5.0,,,207.0,28.0,
2025-01-12 20:00:00,ceimsm1-12,12140.0,2722.0,1553.0,672.0,105.0,,,809.0,5864.0,
2025-01-12 20:00:00,ceimsm1-13,11589.0,517.0,821.0,2191.0,88.0,,,744.0,7605.0,
2025-01-12 20:00:00,ceimsm1-14,10641.0,439.0,4756.0,515.0,33.0,,,105.0,269.0,
2025-01-12 20:00:00,ceimsm1-15,13039.0,521.0,432.0,594.0,79.0,,,348.0,678.0,
2025-01-12 20:00:00,ceimsm1-16,8920.0,709.0,16122.0,760.0,26.0,,,399.0,4081.0,
2025-01-12 20:00:00,ceimsm1-17,16894.0,1081.0,1683.0,334.0,11.0,,,285.0,3326.0,
2025-01-12 20:00:00,ceimsm1-18,15481.0,1451.0,1111.0,435.0,43.0,,,189.0,187.0,
2025-01-12 20:00:00,codmno1-05,,,,358.0,,,,,,
2025-01-12 20:00:30,cecbep1-01,4520.0,1375.0,475.0,2495.0,707.0,,,241.0,1712.0,
2025-01-12 20:00:30,cecbep1-02,5739.0,1246.0,915.0,2803.0,1045.0,,,308.0,2129.0,
2025-01-12 20:00:30,cecbep1-03,8850.0,1356.0,452.0,2555.0,864.0,,,321.0,3636.0,
2025-01-12 20:00:30,cecbep1-04,7778.0,1766.0,2524.0,4136.0,3883.0,,,526.0,6048.0,
2025-01-12 20:00:30,cecbep1-05,6517.0,1447.0,747.0,3638.0,2130.0,,,532.0,8411.0,
2025-01-12 20:00:30,cecbep1-06,6485.0,2235.0,601.0,3029.0,1087.0,,,453.0,3311.0,
2025-01-12 20:00:30,cecbep1-07,5010.0,3400.0,3578.0,3147.0,1147.0,,,306.0,2952.0,
2025-01-12 20:00:30,cecbep1-08,7764.0,3080.0,633.0,11263.0,1168.0,,,445.0,2858.0,
2025-01-12 20:00:30,cecblbg1-01,4585.0,214.0,1347.0,5573.0,1228.0,,,471.0,4669.0,
2025-01-12 20:00:30,cecblbg1-02,4148.0,355.0,931.0,4225.0,1933.0,,,593.0,2081.0,
2025-01-12 20:00:30,cecblbg1-03,3874.0,212.0,3563.0,3560.0,1239.0,,2.0,328.0,1279.0,
2025-01-12 20:00:30,cecblbg1-04,3579.0,341.0,2439.0,4306.0,1813.0,,,415.0,1565.0,
2025-01-12 20:00:30,cecblbg1-05,2171.0,470.0,412.0,3290.0,1103.0,,,222.0,1092.0,
2025-01-12 20:00:30,cecblbg1-06,4558.0,1127.0,616.0,5383.0,1091.0,,,466.0,1300.0,
2025-01-12 20:00:30,cecblbg1-07,3103.0,255.0,531.0,5303.0,1081.0,,,342.0,1406.0,
2025-01-12 20:00:30,cecblbg1-08,3505.0,612.0,563.0,9521.0,1156.0,,,381.0,1331.0,
2025-01-12 20:00:30,cecpmmo1-01,2343.0,237.0,397.0,1417.0,148.0,,,225.0,1112.0,
2025-01-12 20:00:30,cecpmmo1-02,6184.0,348.0,1196.0,1598.0,158.0,,,293.0,3611.0,
2025-01-12 20:00:30,cecpmmo1-03,2286.0,275.0,140.0,1250.0,27.0,,,145.0,1060.0,
2025-01-12 20:00:30,cecpmmo1-04,3997.0,521.0,3526.0,1714.0,79.0,,,191.0,1650.0,
2025-01-12 20:00:30,cecpmmo1-05,1744.0,177.0,199.0,1382.0,55.0,,,173.0,1669.0,
2025-01-12 20:00:30,cecpmmo1-06,3165.0,404.0,346.0,1902.0,108.0,,,322.0,1784.0,
2025-01-12 20:00:30,cecpmmo1-07,2038.0,298.0,1810.0,1097.0,71.0,,,140.0,763.0,
2025-01-12 20:00:30,cecpmmo1-08,3370.0,180.0,419.0,2064.0,89.0,,,261.0,943.0,
2025-01-12 20:00:30,cecssb1-01,3933.0,606.0,3208.0,2913.0,880.0,,,499.0,2078.0,
2025-01-12 20:00:30,cecssb1-02,3116.0,303.0,230.0,2797.0,583.0,,,370.0,1199.0,
2025-01-12 20:00:30,cecssb1-03,4739.0,1440.0,1164.0,3754.0,653.0,,,379.0,6286.0,
2025-01-12 20:00:30,cecssb1-04,3297.0,235.0,203.0,2144.0,725.0,,,359.0,1946.0,
2025-01-12 20:00:30,cecssb1-05,2108.0,675.0,427.0,5232.0,622.0,,,246.0,1643.0,
2025-01-12 20:00:30,cecssb1-06,6931.0,431.0,647.0,2731.0,944.0,,,357.0,1925.0,
2025-01-12 20:00:30,cecssb1-07,4141.0,357.0,2656.0,2922.0,1463.0,,,392.0,1821.0,
2025-01-12 20:00:30,cecssb1-08,2626.0,276.0,582.0,3095.0,602.0,,,268.0,2215.0,
2025-01-12 20:00:30,cefovpo1-01,5632.0,992.0,2624.0,,,,,141.0,1475.0,
2025-01-12 20:00:30,cefovpo1-02,10421.0,584.0,3093.0,197.0,,,,137.0,1532.0,
2025-01-12 20:00:30,ceihta1-01,547.0,45.0,30.0,1132.0,482.0,,,260.0,841.0,
2025-01-12 20:00:30,ceihta1-02,866.0,85.0,15.0,3768.0,1010.0,,,473.0,932.0,
2025-01-12 20:00:30,ceihta1-03,841.0,721.0,39.0,1821.0,760.0,,,485.0,1076.0,
2025-01-12 20:00:30,ceihta1-04,1760.0,59.0,2181.0,2903.0,1170.0,,,588.0,897.0,
2025-01-12 20:00:30,ceihta1-05,307.0,248.0,,33487.0,490.0,,,137.0,7.0,
2025-01-12 20:00:30,ceihta1-06,397.0,19.0,15.0,923.0,421.0,,,97.0,4511.0,
2025-01-12 20:00:30,ceihta1-07,542.0,56.0,85.0,2149.0,502.0,,,195.0,878.0,
2025-01-12 20:00:30,ceihta1-08,764.0,39.0,46.0,3708.0,914.0,,,380.0,736.0,
2025-01-12 20:00:30,ceihta1-09,906.0,43.0,31.0,7790.0,717.0,,,352.0,659.0,
2025-01-12 20:00:30,ceihta1-10,772.0,83.0,61.0,1255.0,699.0,,,445.0,1453.0,
2025-01-12 20:00:30,ceihta1-11,750.0,46.0,54.0,1621.0,751.0,,,391.0,874.0,
2025-01-12 20:00:30,ceihta1-12,847.0,60.0,32.0,4830.0,1070.0,,,248.0,2085.0,
2025-01-12 20:00:30,ceihta1-13,671.0,25.0,1208.0,1437.0,710.0,,,369.0,826.0,
2025-01-12 20:00:30,ceihta1-14,773.0,56.0,62.0,4375.0,1003.0,,,283.0,788.0,
2025-01-12 20:00:30,ceihta1-15,462.0,45.0,15.0,1263.0,572.0,,,569.0,862.0,
2025-01-12 20:00:30,ceihta1-16,1163.0,78.0,61.0,2046.0,1149.0,,,306.0,524.0,
2025-01-12 20:00:30,ceihta1-17,602.0,247.0,50.0,35688.0,613.0,,,379.0,11011.0,
2025-01-12 20:00:30,ceihta1-18,755.0,90.0,47.0,3909.0,623.0,,,242.0,39326.0,
2025-01-12 20:00:30,ceihta1-19,1282.0,43.0,33.0,976.0,710.0,,,381.0,1376.0,
2025-01-12 20:00:30,ceihta1-20,835.0,46.0,30.0,1779.0,805.0,,,404.0,7360.0,
2025-01-12 20:00:30,ceimno1-01,19010.0,1110.0,1360.0,1561.0,170.0,,,233.0,47.0,
2025-01-12 20:00:30,ceimno1-02,14523.0,2536.0,8120.0,2136.0,74.0,,,415.0,72.0,
2025-01-12 20:00:30,ceimno1-03,16954.0,1954.0,2441.0,1214.0,101.0,,,1254.0,16370.0,
2025-01-12 20:00:30,ceimno1-04,15307.0,5301.0,355.0,1722.0,159.0,,,469.0,61.0,
2025-01-12 20:00:30,ceimno1-05,16850.0,1283.0,1265.0,2054.0,452.0,,,1596.0,48.0,
2025-01-12 20:00:30,ceimno1-06,19577.0,1409.0,1326.0,1021.0,202.0,,,391.0,855.0,
2025-01-12 20:00:30,ceimno1-07,13528.0,1569.0,1728.0,699.0,120.0,,,1673.0,18899.0,
2025-01-12 20:00:30,ceimno1-08,19089.0,975.0,791.0,1030.0,57.0,,,368.0,37.0,
2025-01-12 20:00:30,ceimno1-09,18034.0,1537.0,1512.0,1006.0,283.0,,,468.0,892.0,
2025-01-12 20:00:30,ceimno1-10,20517.0,932.0,1065.0,1191.0,160.0,,,815.0,99.0,
2025-01-12 20:00:30,ceimno1-11,11106.0,2800.0,17229.0,1689.0,80.0,,,2077.0,27238.0,
2025-01-12 20:00:30,ceimno1-12,20138.0,688.0,1118.0,1420.0,219.0,,,537.0,145.0,
2025-01-12 20:00:30,ceimno1-13,5.0,6.0,30.0,21.0,,,,,,
2025-01-12 20:00:30,ceimno1-14,9133.0,8466.0,19977.0,1355.0,71.0,,,208.0,78.0,
2025-01-12 20:00:30,ceimno1-15,8630.0,517.0,18493.0,1355.0,153.0,,,358.0,42.0,
2025-01-12 20:00:30,ceimno1-16,13867.0,618.0,509.0,694.0,74.0,,,351.0,28.0,
