time,server,avgtotal
2025-01-12 20:51:30,cecbep1-01,3061846.0
2025-01-12 20:52:00,cecbep1-01,3028003.0
2025-01-12 20:52:30,cecbep1-01,2702515.0
2025-01-12 20:53:00,cecbep1-01,3050693.0
2025-01-12 20:53:30,cecbep1-01,3057874.0
2025-01-12 20:54:00,cecbep1-01,3081078.0
2025-01-12 20:54:30,cecbep1-01,3056393.0
2025-01-12 20:55:00,cecbep1-01,3034956.0
2025-01-12 20:55:30,cecbep1-01,3098971.0
2025-01-12 20:56:00,cecbep1-01,3095292.0
2025-01-12 20:56:30,cecbep1-01,3101465.0
2025-01-12 20:57:00,cecbep1-01,3100802.0
2025-01-12 20:57:30,cecbep1-01,3119729.0
2025-01-12 20:58:00,cecbep1-01,3079214.0
2025-01-12 20:58:30,cecbep1-01,3132959.0
2025-01-12 20:59:00,cecbep1-01,3181286.0
2025-01-12 20:59:30,cecbep1-01,3144036.0
2025-01-12 21:00:00,cecbep1-01,3189873.0
2025-01-12 21:00:30,cecbep1-01,3179834.0
2025-01-12 21:01:00,cecbep1-01,3112421.0
2025-01-12 21:01:30,cecbep1-01,3142711.0
2025-01-12 21:02:00,cecbep1-01,3161739.0
2025-01-12 21:02:30,cecbep1-01,3158149.0
2025-01-12 21:03:00,cecbep1-01,3148667.0
2025-01-12 21:03:30,cecbep1-01,3146727.0
2025-01-12 21:04:00,cecbep1-01,3119308.0
2025-01-12 21:04:30,cecbep1-01,3080428.0
2025-01-12 21:05:00,cecbep1-01,3072377.0
2025-01-12 21:05:30,cecbep1-01,3113962.0
2025-01-12 21:06:00,cecbep1-01,3147974.0
2025-01-12 21:06:30,cecbep1-01,3133447.0
2025-01-12 21:07:00,cecbep1-01,3154049.0
2025-01-12 21:07:30,cecbep1-01,3159828.0
2025-01-12 21:08:00,cecbep1-01,3191013.0
2025-01-12 21:08:30,cecbep1-01,3135948.0
2025-01-12 21:09:00,cecbep1-01,3135257.0
2025-01-12 21:09:30,cecbep1-01,3111686.0
2025-01-12 21:10:00,cecbep1-01,3102109.0
2025-01-12 21:10:30,cecbep1-01,3087266.0
2025-01-12 21:11:00,cecbep1-01,3104254.0
2025-01-12 21:11:30,cecbep1-01,3076273.0
2025-01-12 21:12:00,cecbep1-01,3070641.0
2025-01-12 21:12:30,cecbep1-01,3067896.0
2025-01-12 21:13:00,cecbep1-01,3077579.0
2025-01-12 21:13:30,cecbep1-01,3089937.0
2025-01-12 21:14:00,cecbep1-01,3090347.0
2025-01-12 21:14:30,cecbep1-01,3050879.0
