time,server,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_http_vod,avg_bitrate_protocol_iplus_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_live,avg_bitrate_protocol_unknown_vod
2025-01-12 20:00:00,ceihta1-12,4511411.0,1521390.0,1852173.0,420337.0,,,6000000.0,4596736.0,,0.0
2025-01-12 20:00:00,ceihta1-13,4258164.0,3596274.0,2000000.0,782418.0,,,5908118.0,5486751.0,,0.0
2025-01-12 20:00:00,ceihta1-14,4456603.0,1914222.0,1934693.0,685347.0,,,5374992.0,5144705.0,,0.0
2025-01-12 20:00:00,ceihta1-15,4068275.0,3666759.0,2790697.0,647859.0,,,6000000.0,5083852.0,,0.0
2025-01-12 20:00:00,ceihta1-16,4111509.0,3667322.0,2676000.0,589915.0,,,6000000.0,5060383.0,,0.0
2025-01-12 20:00:00,ceihta1-17,4373731.0,209371.0,2212601.0,646609.0,,,6000000.0,4905341.0,,0.0
2025-01-12 20:00:00,ceihta1-18,4198066.0,1761763.0,2636956.0,786522.0,,,6000000.0,5109183.0,,0.0
2025-01-12 20:00:00,ceihta1-19,4130000.0,4221414.0,3240000.0,815206.0,,,6000000.0,5200265.0,,0.0
2025-01-12 20:00:00,ceihta1-20,4183269.0,3221856.0,1581250.0,724557.0,,,6000000.0,4555408.0,,0.0
2025-01-12 20:00:00,ceimno1-01,4314931.0,5569006.0,2206580.0,1975540.0,,,5666995.0,4905357.0,,0.0
2025-01-12 20:00:00,ceimno1-02,4430081.0,5226318.0,2253702.0,2007197.0,,,5960041.0,5110509.0,,0.0
2025-01-12 20:00:00,ceimno1-03,4275395.0,6551474.0,1943991.0,3005797.0,,,5596486.0,5202247.0,,0.0
2025-01-12 20:00:00,ceimno1-04,4233656.0,4280852.0,2548117.0,2297798.0,,,5736988.0,5204268.0,,0.0
2025-01-12 20:00:00,ceimno1-05,4382021.0,2675962.0,2024849.0,1991104.0,,,5676608.0,5117151.0,,0.0
2025-01-12 20:00:00,ceimno1-06,3684709.0,4303557.0,2092197.0,2257653.0,,,5893113.0,5210705.0,,0.0
2025-01-12 20:00:00,ceimno1-07,4331554.0,5400138.0,1890243.0,2498463.0,,,5392237.0,4844398.0,,0.0
2025-01-12 20:00:00,ceimno1-08,4554539.0,5183896.0,2096545.0,2341180.0,,,5902187.0,5277718.0,,0.0
2025-01-12 20:00:00,ceimno1-09,4466979.0,4744325.0,2013786.0,2273742.0,,,5814197.0,5208213.0,,0.0
2025-01-12 20:00:00,ceimno1-10,4355179.0,5967954.0,2078270.0,2755241.0,,,5927513.0,4867169.0,,0.0
