time,server,saturation_status,saturation_status_value
2025-01-12 20:59:30,ce8bep1-02,Active,24.0
2025-01-12 21:00:00,ce8bep1-02,Active,24.0
2025-01-12 21:00:30,ce8bep1-02,Active,24.0
2025-01-12 21:01:00,ce8bep1-02,Active,24.0
2025-01-12 21:01:30,ce8bep1-02,Active,24.0
2025-01-12 21:02:00,ce8bep1-02,Active,24.0
2025-01-12 21:02:30,ce8bep1-02,Active,24.0
2025-01-12 21:03:00,ce8bep1-02,Active,24.0
2025-01-12 21:03:30,ce8bep1-02,Active,24.0
2025-01-12 21:04:00,ce8bep1-02,Active,24.0
2025-01-12 21:04:30,ce8bep1-02,Active,24.0
2025-01-12 21:05:00,ce8bep1-02,Active,24.0
2025-01-12 21:05:30,ce8bep1-02,Active,24.0
2025-01-12 21:06:00,ce8bep1-02,Active,24.0
2025-01-12 21:06:30,ce8bep1-02,Active,24.0
2025-01-12 21:07:00,ce8bep1-02,Active,24.0
2025-01-12 21:07:30,ce8bep1-02,Active,24.0
2025-01-12 21:08:00,ce8bep1-02,Active,24.0
2025-01-12 21:08:30,ce8bep1-02,Active,24.0
2025-01-12 21:09:00,ce8bep1-02,Active,24.0
2025-01-12 21:09:30,ce8bep1-02,Active,24.0
2025-01-12 21:10:00,ce8bep1-02,Active,24.0
2025-01-12 21:10:30,ce8bep1-02,Active,24.0
2025-01-12 21:11:00,ce8bep1-02,Active,24.0
2025-01-12 21:11:30,ce8bep1-02,Active,24.0
2025-01-12 21:12:00,ce8bep1-02,Active,24.0
2025-01-12 21:12:30,ce8bep1-02,Active,24.0
2025-01-12 21:13:00,ce8bep1-02,Active,24.0
2025-01-12 21:13:30,ce8bep1-02,Active,24.0
2025-01-12 21:14:00,ce8bep1-02,Active,24.0
2025-01-12 21:14:30,ce8bep1-02,Active,24.0
2025-01-12 21:15:00,ce8bep1-02,Active,24.0
2025-01-12 21:15:30,ce8bep1-02,Active,24.0
2025-01-12 21:16:00,ce8bep1-02,Active,24.0
2025-01-12 21:16:30,ce8bep1-02,Active,24.0
2025-01-12 21:17:00,ce8bep1-02,Active,24.0
2025-01-12 21:17:30,ce8bep1-02,Active,24.0
2025-01-12 21:18:00,ce8bep1-02,Active,24.0
2025-01-12 21:18:30,ce8bep1-02,Active,24.0
2025-01-12 21:19:00,ce8bep1-02,Active,24.0
2025-01-12 21:19:30,ce8bep1-02,Active,24.0
2025-01-12 21:20:00,ce8bep1-02,Active,24.0
2025-01-12 21:20:30,ce8bep1-02,Active,24.0
2025-01-12 21:21:00,ce8bep1-02,Active,24.0
2025-01-12 21:21:30,ce8bep1-02,Active,24.0
2025-01-12 21:22:00,ce8bep1-02,Active,24.0
2025-01-12 21:22:30,ce8bep1-02,Active,24.0
2025-01-12 21:23:00,ce8bep1-02,Active,24.0
2025-01-12 21:23:30,ce8bep1-02,Active,24.0
2025-01-12 21:24:00,ce8bep1-02,Active,24.0
2025-01-12 21:24:30,ce8bep1-02,Active,24.0
2025-01-12 21:25:00,ce8bep1-02,Active,24.0
2025-01-12 21:25:30,ce8bep1-02,Active,24.0
2025-01-12 21:26:00,ce8bep1-02,Active,19.0
2025-01-12 21:26:30,ce8bep1-02,Active,19.0
2025-01-12 21:27:00,ce8bep1-02,Active,21.0
2025-01-12 21:27:30,ce8bep1-02,Active,24.0
2025-01-12 21:28:00,ce8bep1-02,Active,24.0
2025-01-12 21:28:30,ce8bep1-02,Active,24.0
2025-01-12 21:29:00,ce8bep1-02,Active,24.0
2025-01-12 21:29:30,ce8bep1-02,Active,24.0
2025-01-12 21:30:00,ce8bep1-02,Active,24.0
2025-01-12 21:30:30,ce8bep1-02,Active,24.0
2025-01-12 21:31:00,ce8bep1-02,Active,24.0
2025-01-12 21:31:30,ce8bep1-02,Active,24.0
2025-01-12 21:32:00,ce8bep1-02,Active,24.0
2025-01-12 21:32:30,ce8bep1-02,Active,24.0
2025-01-12 21:33:00,ce8bep1-02,Active,24.0
2025-01-12 21:33:30,ce8bep1-02,Active,24.0
2025-01-12 21:34:00,ce8bep1-02,Active,24.0
2025-01-12 21:34:30,ce8bep1-02,Active,24.0
2025-01-12 21:35:00,ce8bep1-02,Active,24.0
2025-01-12 21:35:30,ce8bep1-02,Active,24.0
2025-01-12 21:36:00,ce8bep1-02,Active,24.0
2025-01-12 21:36:30,ce8bep1-02,Active,24.0
2025-01-12 21:37:00,ce8bep1-02,Active,24.0
2025-01-12 21:37:30,ce8bep1-02,Active,24.0
2025-01-12 21:38:00,ce8bep1-02,Active,24.0
2025-01-12 21:38:30,ce8bep1-02,Active,24.0
2025-01-12 21:39:00,ce8bep1-02,Active,24.0
2025-01-12 21:39:30,ce8bep1-02,Active,24.0
2025-01-12 21:40:00,ce8bep1-02,Active,24.0
2025-01-12 21:40:30,ce8bep1-02,Active,24.0
2025-01-12 21:41:00,ce8bep1-02,Active,24.0
2025-01-12 21:41:30,ce8bep1-02,Active,24.0
2025-01-12 21:42:00,ce8bep1-02,Active,24.0
2025-01-12 21:42:30,ce8bep1-02,Active,24.0
2025-01-12 21:43:00,ce8bep1-02,Active,24.0
2025-01-12 21:43:30,ce8bep1-02,Active,24.0
2025-01-12 21:44:00,ce8bep1-02,Active,24.0
2025-01-12 21:44:30,ce8bep1-02,Active,24.0
2025-01-12 21:45:00,ce8bep1-02,Active,24.0
2025-01-12 21:45:30,ce8bep1-02,Active,24.0
2025-01-12 21:46:00,ce8bep1-02,Active,24.0
2025-01-12 21:46:30,ce8bep1-02,Active,24.0
2025-01-12 21:47:00,ce8bep1-02,Active,24.0
2025-01-12 21:47:30,ce8bep1-02,Active,24.0
2025-01-12 21:48:00,ce8bep1-02,Active,24.0
2025-01-12 21:48:30,ce8bep1-02,Active,24.0
2025-01-12 21:49:00,ce8bep1-02,Active,24.0
2025-01-12 21:49:30,ce8bep1-02,Active,24.0
2025-01-12 21:50:00,ce8bep1-02,Active,24.0
2025-01-12 21:50:30,ce8bep1-02,Active,24.0
2025-01-12 21:51:00,ce8bep1-02,Active,24.0
2025-01-12 21:51:30,ce8bep1-02,Active,24.0
2025-01-12 21:52:00,ce8bep1-02,Active,24.0
2025-01-12 21:52:30,ce8bep1-02,Active,24.0
2025-01-12 21:53:00,ce8bep1-02,Active,24.0
2025-01-12 21:53:30,ce8bep1-02,Active,24.0
2025-01-12 21:54:00,ce8bep1-02,Active,24.0
2025-01-12 21:54:30,ce8bep1-02,Active,24.0
2025-01-12 21:55:00,ce8bep1-02,Active,24.0
2025-01-12 21:55:30,ce8bep1-02,Active,24.0
2025-01-12 21:56:00,ce8bep1-02,Active,24.0
2025-01-12 21:56:30,ce8bep1-02,Active,24.0
2025-01-12 21:57:00,ce8bep1-02,Active,24.0
2025-01-12 21:57:30,ce8bep1-02,Active,24.0
2025-01-12 21:58:00,ce8bep1-02,Active,24.0
2025-01-12 21:58:30,ce8bep1-02,Active,24.0
2025-01-12 21:59:00,ce8bep1-02,Active,24.0
