sep=,
"Time","live.cecbep1-01","vod.cecbep1-01","live.cecbep1-02","vod.cecbep1-02","live.cecbep1-03","vod.cecbep1-03","live.cecbep1-04","vod.cecbep1-04","live.cecbep1-05","vod.cecbep1-05","live.cecbep1-06","vod.cecbep1-06","live.cecbep1-07","vod.cecbep1-07","live.cecbep1-08","vod.cecbep1-08","live.cecmaz1-01","vod.cecmaz1-01","live.cecmaz1-02","vod.cecmaz1-02","live.cecmaz1-03","vod.cecmaz1-03","live.cecmaz1-04","vod.cecmaz1-04","live.cecmaz1-05","vod.cecmaz1-05","live.cecmaz1-06","vod.cecmaz1-06","live.cecmaz1-07","vod.cecmaz1-07","live.cecmaz1-08","vod.cecmaz1-08","live.cecmsm1-01","vod.cecmsm1-01","live.cecmsm1-02","vod.cecmsm1-02","live.cecmsm1-03","vod.cecmsm1-03","live.cecmsm1-04","vod.cecmsm1-04","live.cecmsm1-05","vod.cecmsm1-05","live.cecmsm1-06","vod.cecmsm1-06","live.cecmsm1-07","vod.cecmsm1-07","live.cecmsm1-08","vod.cecmsm1-08","live.cefsbin3-01","vod.cefsbin3-01","live.cefsbin3-02","vod.cefsbin3-02","live.cefsbin3-03","vod.cefsbin3-03","live.cefsbin3-04","vod.cefsbin3-04","live.cefsbin3-05","vod.cefsbin3-05","live.cefsbin3-06","vod.cefsbin3-06","live.ceihta1-01","vod.ceihta1-01","live.ceihta1-02","vod.ceihta1-02","live.ceihta1-03","vod.ceihta1-03","live.ceihta1-04","vod.ceihta1-04","live.ceihta1-05","vod.ceihta1-05","live.ceihta1-06","vod.ceihta1-06","live.ceihta1-07","vod.ceihta1-07","live.ceihta1-08","vod.ceihta1-08","live.ceihta1-09","vod.ceihta1-09","live.ceihta1-10","vod.ceihta1-10","live.ceihta1-11","vod.ceihta1-11","live.ceihta1-12","vod.ceihta1-12","live.ceihta1-13","vod.ceihta1-13","live.ceihta1-14","vod.ceihta1-14","live.ceihta1-15","vod.ceihta1-15","live.ceihta1-16","vod.ceihta1-16","live.ceihta1-17","vod.ceihta1-17","live.ceihta1-18","vod.ceihta1-18","live.ceihta1-19","vod.ceihta1-19","live.ceihta1-20","vod.ceihta1-20","live.ceimno1-01","vod.ceimno1-01","live.ceimno1-02","vod.ceimno1-02","live.ceimno1-03","vod.ceimno1-03","live.ceimno1-04","vod.ceimno1-04","live.ceimno1-05","vod.ceimno1-05","live.ceimno1-06","vod.ceimno1-06","live.ceimno1-07","vod.ceimno1-07","live.ceimno1-08","vod.ceimno1-08","live.ceimno1-09","vod.ceimno1-09","live.ceimno1-10","vod.ceimno1-10","live.ceimno1-11","vod.ceimno1-11","live.ceimno1-12","vod.ceimno1-12","live.ceimno1-13","vod.ceimno1-13","live.ceimno1-14","vod.ceimno1-14","live.ceimno1-15","vod.ceimno1-15","live.ceimno1-16","vod.ceimno1-16","live.ceimno1-17","vod.ceimno1-17","live.ceimno1-18","vod.ceimno1-18","live.ceimno1-19","vod.ceimno1-19","live.ceimpe1-01","vod.ceimpe1-01","live.ceimpe1-02","vod.ceimpe1-02","live.ceimpe1-03","vod.ceimpe1-03","live.ceimpe1-04","vod.ceimpe1-04","live.ceimpe1-05","vod.ceimpe1-05","live.ceimpe1-06","vod.ceimpe1-06","live.ceimpe1-07","vod.ceimpe1-07","live.ceimpe1-08","vod.ceimpe1-08","live.ceimpe1-09","vod.ceimpe1-09","live.ceimpe1-10","vod.ceimpe1-10","live.ceimpe1-11","vod.ceimpe1-11","live.ceimpe1-12","vod.ceimpe1-12","live.ceimpe1-13","vod.ceimpe1-13","live.ceimpe1-14","vod.ceimpe1-14","live.ceimpe1-15","vod.ceimpe1-15","live.ceimpe1-16","vod.ceimpe1-16","live.ceimsm1-01","vod.ceimsm1-01","live.ceimsm1-02","vod.ceimsm1-02","live.ceimsm1-03","vod.ceimsm1-03","live.ceimsm1-04","vod.ceimsm1-04","live.ceimsm1-05","vod.ceimsm1-05","live.ceimsm1-06","vod.ceimsm1-06","live.ceimsm1-07","vod.ceimsm1-07","live.ceimsm1-08","vod.ceimsm1-08","live.ceimsm1-09","vod.ceimsm1-09","live.ceimsm1-10","vod.ceimsm1-10","live.ceimsm1-11","vod.ceimsm1-11","live.ceimsm1-12","vod.ceimsm1-12","live.ceimsm1-13","vod.ceimsm1-13","live.ceimsm1-14","vod.ceimsm1-14","live.ceimsm1-15","vod.ceimsm1-15","live.ceimsm1-16","vod.ceimsm1-16","live.ceimsm1-17","vod.ceimsm1-17","live.ceimsm1-18","vod.ceimsm1-18"
2025-01-12 20:00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:00:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:00,5943742539,3939039362,6729432623,5113748244,10182869054,4438303022,10465844179,7417019977,7346653873,6167809042,7765029047,5500520287,8468853623,5223583987,9212888034,13850219279,15626727748,8256143079,20536465354,21269146791,10331059811,6166598278,4225649695,34137540716,11958680332,11003638832,10871055574,33664246256,13699679482,8986493264,13073547570,12522821328,41807448251,9517873238,38779680053,14688833093,28924038205,8009825124,27276628887,22051068501,41382174679,16738361577,26464100904,23241478721,9503224228,29919890034,18105606760,24423851577,15549478085,4504548390,12814637510,3307886351,16508970252,5017939017,10983843860,5386361094,11325989096,2118308455,17915309944,3980502114,545263102,1662903527,941531088,5042241756,1209693262,2867578078,2715540254,3732139215,772192409,20589317010,476438698,1670367159,705634736,3045718153,802763606,4946568097,1005166492,8050081268,852309779,2124002400,887025803,2644327465,991161567,5318232657,1275205994,2090772704,877257479,5016730752,539491020,2160959459,1237574822,3768525003,791256269,23839129872,801378426,4890892154,1190442617,1907879687,848113597,2905150132,21250554093,1823301677,21070182415,2310351601,19740792367,1562063279,20169608350,2080274839,19498720997,2794325532,19085568464,1253244620,15983829339,1339850489,21984315508,1339524669,21206010485,1274990837,22836201790,1780769168,21225972246,1592577249,22811175462,1967878015,20103134,44531113,23908554156,1666377498,18866202852,1704377336,15286143973,986355985,15000596558,1037808707,8287422040,9098985701,24996784884,2508292818,28097223092,2794916536,27684790658,2515773573,14567291797,23869847301,26403261429,2237879939,30476456010,1827265542,26879295592,3468172413,25219182155,1981589135,25512183657,2448741291,30042294484,2116907922,27145283853,1139535503,30515246578,1686347633,27420180250,1221332032,57147297421,1441875559,51526397081,1988102873,54068362067,1539062725,62008957879,1126477345,26406810760,1377275708,41717954635,2181162903,31794031344,1834158497,38288029504,1901338984,32273639098,1054043321,21047842393,911599358,15804122811,535850186,16169757207,1268377645,14208520542,563944788,15862313456,882002894,15231298758,636370965,14607334630,936673647,13074440308,2758895829,14362455521,657022057,14891668192,970138895,17831951240,893097862,19726540537,474480276,19196966609,634515931
2025-01-12 20:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12 20:01:30,5781784381,4009683932,6744810928,5188777701,9955172727,4291051352,10058132175,7352589059,7407018360,6364671911,7810703227,5681485378,8495048352,5403156030,9128347434,13785354169,16098349489,9144350127,22380570497,25682955073,11015111601,6153891730,4164802267,27191684989,13174135687,12322741889,10690682044,32821416366,14781169589,9289183175,14261694848,14499318673,47262090792,12890946243,38127790630,12960164443,34560630023,13391516439,30419092675,23469465614,40491739767,13286792417,26125324125,22372523551,9589192365,29296047792,17739413585,24117542273,15381083728,4176767031,13720795316,3399694287,16231373427,4931854778,12009911335,5561449908,12177070904,2434650720,18761126196,4043456258,572743825,1832534833,960290137,4560962854,1260109630,3002078224,2744445746,3613442110,789328734,20117220172,491001402,1627002601,717776911,3201742812,833623308,4418705819,1018243110,7940908855,870441508,2049261009,873486817,2519367711,991269308,5496134887,1273396829,2130975756,909653039,4450430447,544785995,2140354948,1259656252,6694280616,758628189,21371708870,823411679,4443945836,1244076338,1807122303,904352868,2673253402,21461171886,1820121135,21074633364,2289691900,20383058591,1528201173,19960849616,2039421507,19507862887,2684893538,19138320888,1233480120,17154826916,1196081678,22289906402,1254239902,21440921047,1293447574,23095177631,1749413258,21868709712,1501200725,22829222128,1937967341,17464781,71504586,23344261511,1616448642,18753712677,1617832644,15342257097,971712052,15262242964,1048605167,8253832805,8779371605,26442505950,2432953533,28176339853,3864363668,27432942281,2476238719,14536945236,17394664683,26072033274,2113664640,30755799468,1727606995,25984490637,3302650917,25265375055,1881012804,24979620566,2294508470,29965923968,2059532954,26705422028,1079861315,30266029620,1597478519,27100456008,912398309,57997443675,1387379166,51518567129,1963945366,53957384592,1477645830,61666932171,1026328304,27199972376,1374261373,42692667574,2133640740,32786485553,1825545684,39161950079,1797110425,33551173004,1026411007,21915296808,827750549,15496225049,491460539,16362562173,1232922745,13964516958,561008102,15697414061,865673513,15213615580,607890623,14543865614,912293088,12938081702,2675119156,14792501212,675970606,14911767411,939330224,17836523197,863696858,19665371310,477465449,20396048196,636126154
2025-01-12 20:01:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
